iter	RMSE
0	3235.130226
1	2664.572829
2	2408.204445
3	2293.511219
4	2226.797266
5	2153.762073
6	2123.548005
7	2095.640488
8	2073.954062
9	2060.132308
10	2048.170853
11	2031.296659
12	2011.764364
13	2000.380284
14	1991.158757
15	1981.460754
16	1975.848574
17	1968.704325
18	1961.129036
19	1955.0774
20	1951.009506
21	1943.418249
22	1936.056957
23	1931.041526
24	1926.759588
25	1922.146707
26	1917.125962
27	1913.242564
28	1906.487173
29	1899.373546
30	1895.626945
31	1889.861996
32	1886.526989
33	1882.620889
34	1878.946041
35	1875.307528
36	1871.001375
37	1868.207322
38	1863.172804
39	1860.528574
40	1857.166294
41	1855.166301
42	1850.32797
43	1847.725628
44	1846.268754
45	1843.681551
46	1841.347448
47	1838.313464
48	1836.129126
49	1832.414078
