iter	Passed	Remaining
0	105	5182
1	138	3329
2	168	2645
3	204	2347
4	243	2189
5	282	2069
6	315	1936
7	348	1831
8	380	1734
9	416	1666
10	455	1616
11	478	1515
12	502	1431
13	530	1363
14	553	1292
15	577	1227
16	598	1162
17	621	1104
18	643	1050
19	665	998
20	686	948
21	711	905
22	732	859
23	752	814
24	779	779
25	803	741
26	829	706
27	858	674
28	887	642
29	911	607
30	935	573
31	960	540
32	987	508
33	1009	475
34	1033	443
35	1056	410
36	1082	380
37	1109	350
38	1134	320
39	1158	289
40	1182	259
41	1207	229
42	1231	200
43	1256	171
44	1276	141
45	1301	113
46	1330	84
47	1355	56
48	1375	28
49	1397	0
